trade_date,open,high,low,close,volume,openinterest
2020-01-02,10.644,11.3025,10.5752,11.2533,263834.54,0
2020-01-03,11.2533,11.2828,11.0174,11.0961,146855.88,0
2020-01-06,11.0764,11.2042,11.0174,11.0666,145290.68,0
2020-01-07,11.1255,11.4499,11.1255,11.2828,174367.24,0
2020-01-08,11.155,11.5973,10.9781,11.3614,237477.83,0
2020-01-09,11.3614,11.5482,11.1452,11.1943,169540.94,0
2020-01-10,11.2533,11.3025,11.0076,11.0371,150231.96,0
2020-01-13,11.0764,11.4106,11.0666,11.3909,164548.03,0
2020-01-14,11.4007,11.6759,11.3319,11.3516,197266.89,0
2020-01-15,11.3811,11.5678,11.1354,11.5285,153374.74,0
2020-01-16,11.499,11.5187,11.2533,11.273,122706.58,0
2020-01-17,11.2828,11.3221,10.9388,10.9585,175840.7,0
2020-01-20,11.155,11.558,11.0567,11.4204,222298.38,0
2020-01-21,11.4007,11.6759,11.3516,11.4597,209538.34,0
2020-01-22,11.3909,11.8233,11.1649,11.784,217625.32,0
2020-01-23,11.6858,11.9216,11.1452,11.3811,216074.92,0
2020-02-03,10.241,10.241,10.241,10.241,30509.0,0
2020-02-04,9.2877,10.241,9.2877,9.9167,307993.31,0
2020-02-05,9.9756,10.5752,9.9756,10.3393,241684.18,0
2020-02-06,10.1525,10.5064,10.0838,10.4179,180482.83,0
2020-02-07,10.4081,10.4572,10.2213,10.3983,144680.68,0
2020-02-10,10.3196,10.8504,10.3,10.7619,177565.77,0
2020-02-11,10.8405,10.8995,10.5653,10.6341,125456.99,0
2020-02-12,10.7128,10.8307,10.5457,10.7816,123865.62,0
2020-02-13,10.8209,10.8798,10.4965,10.5162,131210.78,0
2020-02-14,10.5359,10.7324,10.3884,10.526,122537.28,0
2020-02-17,10.5162,11.0273,10.4965,11.0273,186422.46,0
2020-02-18,11.0567,11.155,10.8602,11.1452,169867.18,0
2020-02-19,11.1059,11.3614,10.9879,11.0273,177903.68,0
2020-02-20,11.155,11.4695,11.1354,11.4204,211721.47,0
2020-02-21,11.5482,11.8233,11.44,11.6464,244568.29,0
2020-02-24,11.6366,11.8528,11.44,11.7251,247998.87,0
2020-02-25,11.5285,11.558,10.929,11.3516,303393.5,0
2020-02-26,11.0961,11.7939,11.0666,11.4204,319983.52,0
2020-02-27,11.4204,12.5605,11.3025,12.5605,616572.89,0
2020-02-28,12.1182,12.413,11.6464,11.6464,533257.41,0
2020-03-02,11.9904,12.816,11.8725,12.816,520235.96,0
2020-03-03,13.3271,13.4745,12.3541,12.5605,675259.56,0
2020-03-04,12.3344,12.757,12.1575,12.5605,325717.5,0
2020-03-05,13.16,13.8185,12.9634,13.8185,669024.87,0
2020-03-06,14.1625,15.1453,14.1526,14.7423,768341.11,0
2020-03-09,14.5458,15.9709,13.7792,14.8799,699214.57,0
2020-03-10,14.5458,15.5482,13.5924,15.1551,738939.68,0
2020-03-11,14.7522,15.4794,14.3099,14.418,570119.68,0
2020-03-12,13.8578,14.8013,13.8578,14.3394,392693.47,0
2020-03-13,13.6121,15.7743,13.6121,15.7743,898917.36,0
2020-03-16,16.0691,16.0691,14.6932,14.6932,778459.46,0
2020-03-17,14.3492,15.617,13.7792,15.1453,686411.51,0
2020-03-18,15.1355,15.5089,14.3885,14.4082,520217.98,0
2020-03-19,14.0838,14.7227,13.4057,14.2509,479495.66,0
2020-03-20,14.477,14.5065,13.6907,13.8873,302267.89,0
2020-03-23,13.3664,13.9069,12.875,13.0617,326402.96,0
2020-03-24,13.3271,13.4843,12.5801,13.0519,336716.11,0
2020-03-25,13.445,13.5138,13.1207,13.2484,270326.56,0
2020-03-26,13.1108,13.2386,12.7374,12.7669,224999.48,0
2020-03-27,12.9438,13.4155,12.7374,12.875,331163.77,0
2020-03-30,12.5605,13.3565,12.2361,13.219,340341.01,0
2020-03-31,13.1207,13.3074,12.8651,12.8651,218528.13,0
2020-04-01,12.8651,13.4843,12.8062,13.0519,281431.77,0
2020-04-02,12.875,13.5138,12.875,13.4941,287456.47,0
2020-04-03,13.4647,13.5531,13.0912,13.1207,210884.32,0
2020-04-07,13.4647,13.7497,13.2878,13.5728,302148.94,0
2020-04-08,13.3664,13.5236,13.2779,13.3664,180118.68,0
2020-04-09,13.445,14.2411,13.3172,13.8381,336351.34,0
2020-04-10,13.848,15.1846,13.5138,14.703,477800.42,0
2020-04-13,14.2607,15.2141,14.0937,14.8406,407102.92,0
2020-04-14,14.6735,15.1453,14.5851,14.8504,385906.55,0
2020-04-15,15.1355,15.2927,14.644,14.6932,478292.89,0
